mode,model,subset,R2_mean,MAE_mean,RMSE_mean,nMAE_pct_mean,nRMSE_pct_mean,R2_sd,MAE_sd,RMSE_sd,nMAE_pct_sd,nRMSE_pct_sd,n_seeds,skill_vs_SmartPersistence
KFOLD,BestSingleByVal,ALL,0.8362080874160114,76.57278026653232,150.48547405139868,4.601050335973447,9.042263302093197,0.004598552237656456,3.691909836137335,2.126592416844614,0.2218368320023988,0.12778116087653726,5,0.25815474699146523
KFOLD,BestSingleByVal,daylight,0.7295344450261727,151.97095918418327,221.75408597233167,9.13152206800834,13.324600572358019,0.007170297193899285,3.593096383967505,2.9511353212530103,0.21589940011443298,0.17732570391320834,5,0.2627019837265949
KFOLD,CNN,ALL,0.8340856541563666,81.46598701499616,151.4455439867772,4.895069835796248,9.099951296225782,0.0066654296211742965,2.3065286397124645,3.0078297043814843,0.1385930396642501,0.1807323153700876,5,0.2534219092966222
KFOLD,CNN,daylight,0.7274995309314916,155.9189142036127,222.56873899162755,9.368743959460193,13.373550859066773,0.010730990889133783,3.497329887389095,4.334470576749437,0.21014505151009502,0.26044656121930826,5,0.2599933885165254
KFOLD,Climatology,ALL,0.6887414277474634,104.45871926455845,207.4616589238912,6.276640650824289,12.465807460181514,0.003621832764678524,0.6192333050029769,1.204594166940088,0.03720804698631442,0.07238079089226727,5,-0.022719620110297045
KFOLD,Climatology,daylight,0.47996799315099176,227.0120291908325,307.50741314413546,13.640536095762098,18.477285030481546,0.006053162387385905,1.3469462826915295,1.7861191330854815,0.08093434279053756,0.10732304624132141,5,-0.02241455757810029
KFOLD,GBM,ALL,0.8388243068891047,67.96087663702387,149.28924329306747,4.083584443393873,8.970385045702823,0.001604434220953283,0.45805949391239453,0.7426575301861621,0.027523550549236265,0.044624273362968724,5,0.26405178200540746
KFOLD,GBM,daylight,0.7309384255844181,145.29334658241055,221.1911998371727,8.730282468271417,13.290778273725616,0.002712317229887488,1.0459068137204117,1.1142789086918499,0.0628456989535293,0.06695399238945457,5,0.2645734930113992
KFOLD,GBM_kt,ALL,0.8352395078817463,68.85460812223025,150.93796845205685,4.137286340281586,9.069452461307836,0.0026385669339620815,0.6807170416718158,1.205583290292135,0.04090243768588675,0.07244022462727469,5,0.2559240943304213
KFOLD,GBM_kt,daylight,0.7252300694778209,148.4398297107006,223.52170905280695,8.919346091195411,13.43081224104742,0.004444361726593997,1.5125818030390612,1.8032512062101052,0.09088693121545097,0.108352465971565,5,0.2568249105487139
KFOLD,GBM_per_hour,ALL,0.8300177858132981,70.71357982016762,153.31154040708645,4.248986899221565,9.212073951648568,0.0025703702068419747,1.001003699842216,1.1594899784227397,0.06014759283179218,0.06967060274173562,5,0.2442231437993987
KFOLD,GBM_per_hour,daylight,0.7160717283924674,152.8770241320436,227.21690216503194,9.185965049159812,13.652846356190036,0.0043283564340114156,2.1580436240165426,1.7323959171965868,0.1296709784699623,0.1040949641519053,5,0.24453896533401975
KFOLD,InvRMSE,ALL,0.8568401962174652,68.20563225653565,140.6976535385864,4.098291143626857,8.45413975868562,0.0017851832417344164,0.5988124007464758,0.8760667042560806,0.03598101032833775,0.05264046819146758,5,0.3064055714015962
KFOLD,InvRMSE,daylight,0.7613564602549718,141.8228223450066,208.31212009664713,8.52174809544428,12.516909361549347,0.0029719207034381297,0.9623510138557776,1.2951937953211803,0.05782505794112788,0.0778246764237945,5,0.3073944399287033
