mode,subset,n,pct_of_scored,rmse_NNLSStack,rmse_BestSingleByVal,rmse_SmartPersistence,rmse_Persistence,nRMSE_NNLS_pct,skill_NNLS,skill_best_single
KFOLD,all scored hours,3869,100.0,206.75548474695552,221.5028231665638,300.7296458369177,380.8961968550384,12.423375372398672,0.3124871870494714,0.2634486615041529
KFOLD,lag-24 observed only,3801,98.2424399069527,207.66053145049847,221.3282625104249,298.9984217986405,381.31563649924715,12.47775717001544,0.30547950654285805,0.2597677901474754
TEMPORAL,all scored hours,2517,100.0,292.79755213931765,304.96970937003164,310.3606601014844,414.79532838005167,17.593409445936246,0.05658934981135766,0.01736995510220274
TEMPORAL,lag-24 observed only,2488,98.84783472387763,293.7450532349093,305.8177391181503,309.1823298576785,414.9793486408789,17.65034221263262,0.04992936248936097,0.010882221959699123
