mode,fold,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct
TEMPORAL,T1,Ridge,ALL,1598,0.7330718474276565,204.97794511156445,235.9606099487106,12.316567844865329,14.178232002312798
TEMPORAL,T1,Ridge,daylight,913,0.6890965443907683,214.0402379336886,258.0423556980047,12.861096400427627,15.50506411347588
TEMPORAL,T1,GBM,ALL,1598,0.8671156842497905,93.31719101464641,166.486560827839,5.607176487200066,10.003725135298422
TEMPORAL,T1,GBM,daylight,913,0.7739914459869685,159.1379204403661,220.00910876548363,9.562165298943516,13.219749632691363
TEMPORAL,T1,GBM_kt,ALL,1598,0.8697477317544876,87.85598190284011,164.82950988244076,5.279027268492905,9.904157445807304
TEMPORAL,T1,GBM_kt,daylight,913,0.7784375087687234,151.46710335149564,217.83433952259688,9.101246739879986,13.089073657223066
TEMPORAL,T1,GBM_per_hour,ALL,1598,0.7054208213249057,124.84310421595998,247.8810592238502,7.501482962972261,14.894499414197638
TEMPORAL,T1,GBM_per_hour,daylight,913,0.49831111693619656,216.82585770162243,327.789820307782,13.028476724408733,19.695999774412996
TEMPORAL,T1,CNN,ALL,1598,0.8219141628231645,120.86071892213837,192.7334124556924,7.262192249871145,11.580827143090636
TEMPORAL,T1,CNN,daylight,913,0.7065532671391375,185.22724756340205,250.6933782036899,11.129802087198296,15.063484021286683
TEMPORAL,T1,Mean,ALL,1598,0.8612723105276339,112.1350885367195,170.10767013459875,6.737892825497773,10.221307755838916
TEMPORAL,T1,Mean,daylight,913,0.7709853462762924,164.1082642325668,221.46742665332002,9.860819754161252,13.30737599266459
TEMPORAL,T1,InvRMSE,ALL,1598,0.8621251361587604,111.36942039927034,169.58399736704587,6.691885907258781,10.189841681932462
TEMPORAL,T1,InvRMSE,daylight,913,0.7720512700006934,163.61157587805593,220.95142754802617,9.830975100324185,13.276371008275742
TEMPORAL,T1,RidgeStack,ALL,1598,0.8610264958943898,90.58049926764183,170.25831218698644,5.442736115070668,10.230359427507851
TEMPORAL,T1,RidgeStack,daylight,913,0.7638308750233541,155.93572316713747,224.90016996517497,9.369753964412393,13.513640212317377
TEMPORAL,T1,NNLSStack,ALL,1598,0.8482875446378435,95.72227437102976,177.8905747838382,5.751691412039072,10.688961351889466
TEMPORAL,T1,NNLSStack,daylight,913,0.7417145558567397,165.3145124508424,235.19505658543142,9.9332999325046,14.132231980541865
TEMPORAL,T1,BestSingleByVal,ALL,1598,0.8671156842497905,93.31719101464641,166.486560827839,5.607176487200066,10.003725135298422
TEMPORAL,T1,BestSingleByVal,daylight,913,0.7739914459869685,159.1379204403661,220.00910876548363,9.562165298943516,13.219749632691363
TEMPORAL,T1,Persistence,ALL,1598,0.5627855931203611,154.4225535784953,301.9879068202428,9.278831714756928,18.145632890679934
TEMPORAL,T1,Persistence,daylight,913,0.25506118368346387,268.666258803962,399.42801830804507,16.14342558846569,24.000544468106266
TEMPORAL,T1,Climatology,ALL,1598,-0.037903279252274436,353.6167406254401,465.2868320262433,21.24786925063022,27.957821661518683
TEMPORAL,T1,Climatology,daylight,913,-0.549529948877179,431.4907364880346,576.0739151955406,25.92710609667417,34.61471650670174
TEMPORAL,T1,SmartPersistence,ALL,1598,0.7200029996892306,123.19369844952551,241.66792273965885,7.402374651514923,14.521168922493757
TEMPORAL,T1,SmartPersistence,daylight,913,0.5229725523524039,214.27412746357433,319.631746400319,12.875150186855594,19.205803276882467
TEMPORAL,T2,Ridge,ALL,1433,0.21147293643947196,174.0165148606564,275.7666281451245,10.45617961601553,16.57006749214187
TEMPORAL,T2,Ridge,daylight,562,-0.1870785706077429,310.0854689110928,420.4307287988202,18.632193397546565,25.262540282070074
TEMPORAL,T2,GBM,ALL,1433,0.34776764056842835,108.66931155796374,250.80406894197762,6.529643702545619,15.07013512702968
TEMPORAL,T2,GBM,daylight,562,-0.07054370436458379,267.11373751263864,399.26102647239895,16.050138801905437,23.990510382379853
TEMPORAL,T2,GBM_kt,ALL,1433,0.4089043057275845,101.31558751548093,238.76040397784618,6.087778403172264,14.346464019141381
TEMPORAL,T2,GBM_kt,daylight,562,0.029802342809188143,251.46990352375423,380.0885867349616,15.110143318132607,22.838490565568755
TEMPORAL,T2,GBM_per_hour,ALL,1433,0.40397160711640356,113.50659997959245,239.75456302447733,6.820303222025846,14.406200335357036
TEMPORAL,T2,GBM_per_hour,daylight,562,0.026894116797475,272.60713403095974,380.6578297043096,16.380222074424452,22.872694829097554
TEMPORAL,T2,CNN,ALL,1433,0.5937943009752178,120.52824082933357,197.92762490380247,7.24221454453932,11.892933257643456
TEMPORAL,T2,CNN,daylight,562,0.3980430650991179,203.7981021838531,299.3900957284357,12.245674288695021,17.98953747981526
TEMPORAL,T2,Mean,ALL,1433,0.44723664520415674,118.13377124662287,230.8888864029321,7.098337372525173,13.873485913127528
TEMPORAL,T2,Mean,daylight,562,0.10613066984795982,250.08003060099895,364.8310022012958,15.02662963016223,21.92170376221105
TEMPORAL,T2,InvRMSE,ALL,1433,0.45251512170075747,116.24231299454742,229.78383390400953,6.984684784805367,13.807086310635125
TEMPORAL,T2,InvRMSE,daylight,562,0.11337016601239791,247.51637563587835,363.3506056216748,14.872586568155983,21.832750753631103
TEMPORAL,T2,RidgeStack,ALL,1433,0.5441657129420739,131.80894341609672,209.67029276244764,7.9200413159609715,12.598518267201458
TEMPORAL,T2,RidgeStack,daylight,562,0.31152429765535194,220.27175123563526,320.1835584316878,13.235531105184927,19.23896016270385
TEMPORAL,T2,NNLSStack,ALL,1433,0.4915126873093476,102.79886649071524,221.44886961144022,6.176904607073822,13.306260950433149
TEMPORAL,T2,NNLSStack,daylight,562,0.16892595897734308,231.28780516657002,351.78277999098464,13.897455857866033,21.13767153854569
TEMPORAL,T2,BestSingleByVal,ALL,1433,0.4089043057275845,101.31558751548093,238.76040397784618,6.087778403172264,14.346464019141381
TEMPORAL,T2,BestSingleByVal,daylight,562,0.029802342809188143,251.46990352375423,380.0885867349616,15.110143318132607,22.838490565568755
TEMPORAL,T2,Persistence,ALL,1433,0.21453519345039151,124.16253129504274,275.2306352783222,7.460589185110974,16.537861136942333
TEMPORAL,T2,Persistence,daylight,562,-0.2921808006211135,310.2738262096622,438.64820855751515,18.643511275895104,26.3571791481603
TEMPORAL,T2,Climatology,ALL,1433,-0.21227011035318277,298.0984340494832,341.92677162299395,17.91192503866813,20.545450772170813
TEMPORAL,T2,Climatology,daylight,562,-0.06526484566876278,296.63896202355096,398.2754304809869,17.82422932967225,23.931288596888507
TEMPORAL,T2,SmartPersistence,ALL,1433,0.5051666428563643,90.2862118785483,218.4554536593586,5.42505318536969,13.126394718279984
TEMPORAL,T2,SmartPersistence,daylight,562,0.18469364365304075,226.34366129606812,348.42967206107073,13.60037568476415,20.936192392643125
TEMPORAL,T3,Ridge,ALL,1525,0.2266834776636495,84.3053366730436,189.27865623140337,5.065678642902801,11.373240227333591
TEMPORAL,T3,Ridge,daylight,445,-0.15405929147791508,233.03113369144012,342.1233706912898,14.002207732711716,20.55726387607126
TEMPORAL,T3,GBM,ALL,1525,0.5836132529572934,65.01063930892506,138.89015050021504,3.906312697449664,8.345531811670716
TEMPORAL,T3,GBM,daylight,445,0.3675991957189233,198.75515027640452,253.25900016888113,11.942657009091219,15.217645274983296
TEMPORAL,T3,GBM_kt,ALL,1525,0.6060854298528658,54.40406600733077,135.09025512177593,3.268992523323023,8.117206421802733
TEMPORAL,T3,GBM_kt,daylight,445,0.3986258197247342,173.4276917603422,246.9682191829792,10.420798835611587,14.839649336113489
TEMPORAL,T3,GBM_per_hour,ALL,1525,0.29318423984994035,102.74454560010335,180.95730169180234,6.173640612334043,10.873232640212981
TEMPORAL,T3,GBM_per_hour,daylight,445,0.08933686806829333,262.06004997000974,303.91179700441876,15.746476447149846,18.261234225089723
TEMPORAL,T3,CNN,ALL,1525,0.2176106260652516,151.8698595613948,190.3857640210867,9.125447266338888,11.439763326664067
TEMPORAL,T3,CNN,daylight,445,0.22340770613702388,205.65517633501045,280.65011180667227,12.357260829204177,16.863502758087225
