comparison,reference,variant,mode,n_common,reference_nRMSE_pct,variant_nRMSE_pct,nRMSE_change_pp,relative_rmse_change_pct,reference_R2,variant_R2,reference_skill,variant_skill,dm_statistic,p_value,n,better,loss
operational_penalty,analysis_matched,forecast_day1,KFOLD,3869,12.429601316742286,14.053218488185799,1.623617171443513,13.062504018182386,0.7646813035809908,0.699189055581182,0.3121426416758798,0.3322076584494389,8.151296364588191,4.814467323384771e-16,3869,analysis_matched,squared
operational_penalty,analysis_matched,forecast_day1,TEMPORAL,2517,18.172165195300472,18.93030216782648,0.7581369725260068,4.171968306352802,0.5011292519976736,0.4586354925267556,0.02432584118563097,0.07099007709347716,4.283312487659172,1.910428576381597e-05,2517,analysis_matched,squared
weather_product_sensitivity,analysis_full,era5_full,KFOLD,3869,12.423375372398672,13.026075125808514,0.6026997534098424,4.8513365759588645,0.7649169851837325,0.7415543697767214,0.3124871870494714,0.2734402777822508,4.345577210016965,1.4247825502239471e-05,3869,analysis_full,squared
weather_product_sensitivity,analysis_full,era5_full,TEMPORAL,2517,18.08811299882131,16.821362840133293,-1.2667501586880157,-7.0032189580558235,0.5057334594739029,0.5725384616195146,0.02883865268689967,0.08030992255261304,-7.949393201818854,2.8033313882766263e-15,2517,era5_full,squared
dropped_cloud_levels,analysis_full,analysis_matched,KFOLD,3869,12.423375372398672,12.429601316742286,0.006225944343613676,0.050114756714569886,0.7649169851837325,0.7646813035809908,0.3124871870494714,0.3121426416758798,0.1816858252460609,0.8558388106352827,3869,no significant difference,squared
dropped_cloud_levels,analysis_full,analysis_matched,TEMPORAL,2517,18.08811299882131,18.172165195300472,0.0840521964791634,0.464681951537127,0.5057334594739029,0.5011292519976736,0.02883865268689967,0.02432584118563097,2.6674474251379765,0.007691975446748589,2517,analysis_full,squared
