,Ridge,GBM,GBM_kt,GBM_per_hour,CNN
Ridge,1.0,0.8549671186772413,0.8134425326404465,0.7536002799685106,0.8091744757498454
GBM,0.8549671186772413,1.0,0.9473125909768922,0.8549393180580087,0.8799943471383015
GBM_kt,0.8134425326404465,0.9473125909768922,1.0,0.7986480634583162,0.8439721133538114
GBM_per_hour,0.7536002799685106,0.8549393180580087,0.7986480634583162,1.0,0.8098924992678418
CNN,0.8091744757498454,0.8799943471383015,0.8439721133538114,0.8098924992678418,1.0
