mode,subset,ensemble,comparator,lowest_error_base,lowest_error_base_nRMSE_pct,lowest_error_ensemble,lowest_error_nRMSE_pct,abs_rmse_gain,rel_rmse_gain_pct,ci_low_pct,ci_high_pct,p_value,n_days,n,dm_statistic_hourly
KFOLD,ALL,NNLSStack,BestSingleByVal,GBM,8.927774133013223,NNLSStack,8.405021033860447,10.998012013109644,7.289330953439219,4.7923523774031676,9.755313980186259,0.0001,362,8516,-9.882511225481096
KFOLD,daylight,NNLSStack,BestSingleByVal,GBM,13.226037177932842,NNLSStack,12.423375372398672,14.747338419608269,6.657855736908008,4.106441839954182,9.182562106461438,0.0001,358,3869,-8.913626285395388
TEMPORAL,ALL,NNLSStack,BestSingleByVal,GBM_kt,11.89392295362233,RidgeStack,11.248604819639105,5.983432527450617,2.986808933091151,1.4634070153727374,4.365292484253874,0.0004,258,6076,-5.888066824601359
TEMPORAL,daylight,NNLSStack,BestSingleByVal,GBM_kt,18.430642034074566,RidgeStack,17.336128867830173,9.395795268354107,3.0267381790817764,1.4808492139970895,4.390621056372916,0.0002,254,2517,-5.95962595449027
