configuration,mode,n,best_ensemble,ensemble_R2,ensemble_RMSE,ensemble_nRMSE_pct,best_base,base_R2,base_nRMSE_pct,smart_persistence_nRMSE_pct,skill_vs_smart_persistence,n_features
analysis_full,KFOLD,3869,NNLSStack,0.7649169851837325,206.75548474695552,12.423375372398672,GBM,0.7335587179392213,13.226037177932842,18.070027406591215,0.3124871870494714,60
analysis_full,TEMPORAL,2517,NNLSStack,0.5057334594739029,301.03063451965335,18.08811299882131,GBM_kt,0.486836669256537,18.430642034074566,18.62523982123615,0.02883865268689967,60
analysis_matched,KFOLD,3869,NNLSStack,0.7646813035809908,206.85909975513047,12.429601316742286,GBM,0.7360662392205086,13.16365388649887,18.070027406591215,0.3121426416758798,48
analysis_matched,TEMPORAL,2517,NNLSStack,0.5011292519976736,302.42946954686386,18.172165195300472,CNN,0.48676121446800735,18.431996991645285,18.62523982123615,0.02432584118563097,48
era5_full,KFOLD,3869,NNLSStack,0.7415543697767214,216.7858892012856,13.026075125808514,GBM,0.7106143997104946,13.783751673005096,17.928430007168235,0.2734402777822508,60
era5_full,TEMPORAL,2517,NNLSStack,0.5725384616195146,279.94880005341724,16.821362840133293,CNN,0.5349743311747033,17.544908982222122,18.290251523449324,0.08030992255261304,60
forecast_day1,KFOLD,3869,NNLSStack,0.699189055581182,233.88007797262028,14.053218488185799,GBM,0.6968331068710542,14.108143497598222,21.044294182163476,0.3322076584494389,48
forecast_day1,TEMPORAL,2517,NNLSStack,0.4586354925267556,315.0467311654299,18.93030216782648,CNN,0.469188120311106,18.744893335719166,20.376856803209034,0.07099007709347716,48
