mode,month,subset,n,R2,nRMSE_pct
KFOLD,2025-03,ALL,623,-0.0305271021314634,10.267272991347856
KFOLD,2025-03,daylight,278,-1.53010392616582,15.32098519189523
KFOLD,2025-04,ALL,338,0.6034834037783843,10.158201312107206
KFOLD,2025-04,daylight,175,0.3890792327028232,14.095676565071043
KFOLD,2025-05,ALL,728,0.901903941636986,8.49049718095691
KFOLD,2025-05,daylight,431,0.8308940150175468,11.021446622877052
KFOLD,2025-06,ALL,679,0.9201773100806074,7.978412497730739
KFOLD,2025-06,daylight,423,0.8687518821402026,10.092199998739048
KFOLD,2025-07,ALL,744,0.9034618905158416,8.899584205440112
KFOLD,2025-07,daylight,455,0.8439848940925955,11.362605717013745
KFOLD,2025-08,ALL,734,0.8674261904974421,9.80205483504779
KFOLD,2025-08,daylight,406,0.7709706849199898,13.160686890082804
KFOLD,2025-09,ALL,703,0.8414939151434266,9.448607825207402
KFOLD,2025-09,daylight,328,0.7106180693419673,13.776938093542318
KFOLD,2025-10,ALL,586,0.7014248608686828,8.693425708710928
KFOLD,2025-10,daylight,222,0.5201805912466992,14.049918075968144
KFOLD,2025-11,ALL,720,0.7654524326144934,6.82874897069554
KFOLD,2025-11,daylight,221,0.6212734796277748,12.251140719055073
KFOLD,2025-12,ALL,744,0.7525391624083468,5.278671157539842
KFOLD,2025-12,daylight,217,0.6482471950969673,9.661717072785375
KFOLD,2026-01,ALL,661,0.8549082001888846,5.03763740872652
KFOLD,2026-01,daylight,199,0.7657205822986485,9.005656178378528
KFOLD,2026-02,ALL,513,0.8367433954645267,6.584534377291579
KFOLD,2026-02,daylight,186,0.7431191961654489,10.870495769284606
KFOLD,2026-03,ALL,743,0.8291712311181424,10.082573721899909
KFOLD,2026-03,daylight,328,0.6825749221263818,15.120382348633868
TEMPORAL,2025-07,ALL,672,0.9011513483987443,9.005922144680673
TEMPORAL,2025-07,daylight,410,0.8406718990250196,11.519019856845112
TEMPORAL,2025-08,ALL,734,0.8348424362603686,10.940508143718496
TEMPORAL,2025-08,daylight,406,0.7144543885018539,14.69503973170933
TEMPORAL,2025-09,ALL,703,0.5220145263931248,16.407869875569308
TEMPORAL,2025-09,daylight,328,0.13494000136965156,23.819910049118885
TEMPORAL,2025-10,ALL,586,0.44849877113987713,11.81509907368288
TEMPORAL,2025-10,daylight,222,0.15532547347197367,18.641445469987776
TEMPORAL,2025-11,ALL,720,0.5812113363143034,9.124795501066284
TEMPORAL,2025-11,daylight,221,0.35500436205239694,15.987923376685009
TEMPORAL,2025-12,ALL,744,0.6027574984590367,6.688045555090367
TEMPORAL,2025-12,daylight,217,0.42257724942181796,12.37891203195157
TEMPORAL,2026-01,ALL,661,0.7232887410485342,6.956950070061597
TEMPORAL,2026-01,daylight,199,0.5379097802885068,12.647703696407476
TEMPORAL,2026-02,ALL,513,0.787150494175544,7.518410127714873
TEMPORAL,2026-02,daylight,186,0.6615533047603961,12.477531199237953
TEMPORAL,2026-03,ALL,743,0.5450380369304726,16.454263400026818
TEMPORAL,2026-03,daylight,328,0.15085581880123367,24.730498739317092
