mode,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct,seed
KFOLD,Ridge,ALL,8516,0.7968782420927115,88.85268134454715,167.59508019339185,5.338916230147013,10.07033305238798,0
KFOLD,Ridge,daylight,3869,0.6647322303325334,177.77148838595377,246.91206751850794,10.68180577377034,14.836275335146281,0
KFOLD,GBM,ALL,8516,0.8403550566570869,67.40548820048008,148.5800930303923,4.050212661101772,8.927774133013223,0
KFOLD,GBM,daylight,3869,0.7335587179392213,144.04343754309542,220.11374896392428,8.655178829807989,13.226037177932842,0
KFOLD,GBM_kt,ALL,8516,0.8364218635528963,68.5369727112439,150.39924998321544,4.118200491376156,9.03708233208659,0
KFOLD,GBM_kt,daylight,3869,0.7271467023023817,147.79236303856877,222.74656573169474,8.880441577881747,13.384235984763961,0
KFOLD,GBM_per_hour,ALL,8516,0.8284574700759394,71.94863205122579,154.01710213906077,4.323197832439287,9.25446923927755,0
KFOLD,GBM_per_hour,daylight,3869,0.7134369053326738,155.52694138678234,228.27404926209695,9.345191377794851,13.716367453232534,0
KFOLD,CNN,ALL,8516,0.8367655221164825,82.5958362088865,150.24118128758244,4.962959404322475,9.027584413601488,0
KFOLD,CNN,daylight,3869,0.7332036482645448,155.15279947547256,220.26036606405117,9.322710206799863,13.234847001155275,0
KFOLD,Mean,ALL,8516,0.8562282306809768,68.85837745190845,141.000239745078,4.137512829061567,8.472321341778114,0
KFOLD,Mean,daylight,3869,0.7603752964268509,142.6343323486544,208.74313792235446,8.570509526881574,12.542808051721996,0
KFOLD,InvRMSE,ALL,8516,0.8571964498501514,68.49574499900693,140.52466043956366,4.115723230153837,8.443745073346925,0
KFOLD,InvRMSE,daylight,3869,0.7619874607312299,141.86420077843894,208.03975431339978,8.524234413093753,12.500543641587814,0
KFOLD,RidgeStack,ALL,8516,0.8520033363624404,77.46946942418545,143.0569642704066,4.654929951363185,8.59590433086809,0
KFOLD,RidgeStack,daylight,3869,0.7613359402428705,143.3496352803025,208.32429716425574,8.613490136734402,12.517641048459716,0
KFOLD,NNLSStack,ALL,8516,0.8611610247015792,69.30365517696127,138.5602767966598,4.164268357845092,8.325710597013384,0
KFOLD,NNLSStack,daylight,3869,0.7694692473217154,139.5314102344036,204.74384151308817,8.384063366946162,12.302501195637332,0
KFOLD,BestSingleByVal,ALL,8516,0.8353783473696521,80.76749992593159,150.8782093083675,4.853099644239571,9.06586169671509,0
KFOLD,BestSingleByVal,daylight,3869,0.7301852391685553,154.54011901053173,221.5028231665638,9.285895902170354,13.3095028729814,0
KFOLD,Persistence,ALL,8516,0.5221093109505239,117.21702089743961,257.06759050499755,7.043252334637931,15.446493121235951,0
KFOLD,Persistence,daylight,3869,0.20111317287251806,255.49057983976985,381.1439613598147,15.351734834729658,22.90190515957143,0
KFOLD,Climatology,ALL,8516,0.6830627897100681,105.43067836702332,209.34840569826218,6.335043032707019,12.579176948006035,0
KFOLD,Climatology,daylight,3869,0.4704894274617346,229.10966638937848,310.301397370966,13.766577416235592,18.645167952073486,0
KFOLD,SmartPersistence,ALL,8516,0.7036135441720341,89.92831396102095,202.44740726722895,5.403548071829975,12.164514700675628,0
KFOLD,SmartPersistence,daylight,3869,0.5045228316773529,195.8670438928452,300.16374611323073,11.769118542809219,18.03602402961138,0
KFOLD,Ridge,ALL,8516,0.796548177435739,88.73368891560776,167.73119254148347,5.3317662983665,10.078511673599552,1
