shift_hours,mode,NNLS_nRMSE_pct,NNLS_R2,best_base,best_base_nRMSE_pct
-2,KFOLD,12.549614464660037,0.764498563494328,CNN,13.41980025952109
-1,KFOLD,12.423375372398672,0.7649169851837325,GBM,13.226037177932842
0,KFOLD,12.024872126553198,0.7883915440303539,GBM,12.924913787642364
-2,TEMPORAL,17.806785372811458,0.531555827740567,CNN,17.999485640351914
-1,TEMPORAL,18.08811299882131,0.5057334594739029,GBM_kt,18.430642034074566
0,TEMPORAL,17.081027470199437,0.5765338434545223,CNN,17.615737785290904
