arm,mode,cnn_R2,cnn_RMSE,cnn_nRMSE_pct,best_ensemble,ensemble_R2,ensemble_nRMSE_pct,cnn_nRMSE_change_pp
full,KFOLD,0.7332036482645448,220.26036606405117,13.234847001155275,NNLSStack,0.7694692473217154,12.302501195637332,0.0
no_channel,KFOLD,0.7214533731633107,225.0584715812588,13.523152126359578,NNLSStack,0.7667135533400973,12.375812924858439,0.2883051252043032
no_loss_weighting,KFOLD,0.7178139134070185,226.52399471097993,13.61121142974271,NNLSStack,0.7669786171106417,12.368780128870895,0.3763644285874346
neither,KFOLD,0.7248603179682804,223.67787537284846,13.440195850951536,NNLSStack,0.7718216427836043,12.239571292687733,0.20534884979626078
full,TEMPORAL,0.5054141861807538,301.1278447476712,18.093954097325565,RidgeStack,0.572322831170864,16.825605023787475,0.0
no_channel,TEMPORAL,0.501422370709407,302.34060809101567,18.16682575183424,RidgeStack,0.565650905345991,16.956340023821916,0.07287165450867406
no_loss_weighting,TEMPORAL,0.5108438453301987,299.47036316437305,17.994360531972983,RidgeStack,0.5837264629739463,16.599769520821507,-0.09959356535258124
neither,TEMPORAL,0.5021526793214603,302.11909507783736,18.153515636671138,RidgeStack,0.5818748353977092,16.636647299732957,0.05956153934557307
