mode,variant,daylight_RMSE,daylight_nRMSE_pct,mean_raw_weight_sum
KFOLD,NNLSStack,206.75548474695552,12.423375372398672,1.025093695557226
KFOLD,NNLSRenormalised,204.74287184506608,12.302442930920245,1.025093695557226
KFOLD,NNLSConvex,208.7431352319126,12.542807890060653,1.025093695557226
KFOLD,RidgeStack,208.32429716425574,12.517641048459716,1.025093695557226
TEMPORAL,NNLSStack,301.03063451965335,18.08811299882131,1.0974796693515674
TEMPORAL,NNLSRenormalised,311.39402743582787,18.710821124252014,1.0974796693515674
TEMPORAL,NNLSConvex,301.2406789952515,18.100734000718543,1.0974796693515674
TEMPORAL,RidgeStack,288.5157712989446,17.336128867830173,1.0974796693515674
