ablation,mode,subset,ensemble,ensemble_R2,ensemble_nRMSE_pct,lowest_error_ensemble,lowest_error_nRMSE_pct,best_base,base_R2,base_nRMSE_pct
full,KFOLD,ALL,NNLSStack,0.8585032751512869,8.405021033860447,NNLSStack,8.405021033860447,GBM,0.8403550566570869,8.927774133013223
full,KFOLD,daylight,NNLSStack,0.7649169851837325,12.423375372398672,NNLSStack,12.423375372398672,GBM,0.7335587179392213,13.226037177932842
full,TEMPORAL,ALL,NNLSStack,0.7041388779226333,11.67767313760614,RidgeStack,11.248604819639105,GBM_kt,0.6930797722649789,11.89392295362233
full,TEMPORAL,daylight,NNLSStack,0.5057334594739029,18.08811299882131,RidgeStack,17.336128867830173,GBM_kt,0.486836669256537,18.430642034074566
no_alignment,KFOLD,ALL,NNLSStack,0.8651740384161928,8.204504810906062,NNLSStack,8.204504810906062,GBM,0.8454577007587983,8.783938682431893
no_alignment,KFOLD,daylight,NNLSStack,0.7883915440303539,12.024872126553198,NNLSStack,12.024872126553198,GBM,0.7555289742901835,12.924913787642364
no_alignment,TEMPORAL,ALL,NNLSStack,0.727540757109373,11.206323045453965,NNLSStack,11.206323045453965,GBM_kt,0.6923107890977496,11.908813638491496
no_alignment,TEMPORAL,daylight,NNLSStack,0.5765338434545223,17.081027470199437,NNLSStack,17.081027470199437,CNN,0.5496062045451129,17.615737785290904
calendar_only,KFOLD,ALL,NNLSStack,0.857474237550681,8.435528504810309,NNLSStack,8.435528504810309,GBM,0.8428446935376658,8.857887001256746
calendar_only,KFOLD,daylight,NNLSStack,0.7633545438675631,12.46459198058756,NNLSStack,12.46459198058756,GBM,0.7376736800837476,13.123507239356336
calendar_only,TEMPORAL,ALL,NNLSStack,0.7958706466923673,9.699851709634606,RidgeStack,9.036398753406765,GBM_kt,0.7758359847838064,10.164717509724934
calendar_only,TEMPORAL,daylight,NNLSStack,0.6602742304301168,14.996050770410394,RidgeStack,13.926906017847607,GBM_kt,0.6274753463951941,15.703272471793944
no_temporal,KFOLD,ALL,NNLSStack,0.856843928083401,8.454160672948387,NNLSStack,8.454160672948387,CNN,0.8367655221164825,9.027584413601488
no_temporal,KFOLD,daylight,NNLSStack,0.7625349654109059,12.486157747040059,NNLSStack,12.486157747040059,CNN,0.7332036482645448,13.234847001155275
no_temporal,TEMPORAL,ALL,NNLSStack,0.7005147647069347,11.748977530233876,RidgeStack,11.694869287264462,GBM_kt,0.6833698605383595,12.080599623225293
no_temporal,TEMPORAL,daylight,NNLSStack,0.49996625019668783,18.19333496508613,RidgeStack,18.0127728950711,CNN,0.48676121446800735,18.431996991645285
