configuration,mode,model,subset,n,R2,MAE,RMSE,nMAE_pct,nRMSE_pct,skill_vs_SmartPersistence
analysis_full,TEMPORAL,Ridge,ALL,6076,0.5944373264854232,138.95102326746118,227.54054043322415,8.349189490877537,13.672292900476615,-0.14173034570300036
analysis_full,TEMPORAL,Ridge,daylight,2517,0.40622723552121953,242.05815535132578,329.94399207675144,14.544616939958557,19.825438103632095,-0.06634991671174606
analysis_full,TEMPORAL,GBM,ALL,6076,0.6852179952967771,90.13191141233906,200.4632398326691,5.4157816895532696,12.045291470049388,-0.005864553539039363
analysis_full,TEMPORAL,GBM,daylight,2517,0.47451646232838773,208.28737441617298,310.3913755925327,12.515422460837849,18.650574498957752,-0.0031575826789043138
analysis_full,TEMPORAL,GBM_kt,ALL,6076,0.7012337951635993,84.32764759064219,195.29698189277164,5.067019245327782,11.734865065949236,0.020058182921371848
analysis_full,TEMPORAL,GBM_kt,daylight,2517,0.5010736388204402,197.78535441667873,302.4463262126882,11.884384610587658,18.173178066554257,0.022520117015342955
analysis_full,TEMPORAL,GBM_per_hour,ALL,6076,0.586059973022302,111.52370097613648,229.8785814040273,6.70115620797861,13.81277943050451,-0.15346193569035127
analysis_full,TEMPORAL,GBM_per_hour,daylight,2517,0.3271398851304764,245.71849613373732,351.23070935599986,14.76455687328827,21.10449911393558,-0.13514671175238058
analysis_full,TEMPORAL,CNN,ALL,6076,0.6683732591367678,125.88044000489678,205.75697576837476,7.563813652332002,12.36337768058991,-0.03242693643760397
analysis_full,TEMPORAL,CNN,daylight,2517,0.5054141861807538,207.1441309837245,301.1278447476712,12.446728068905662,18.093954097325565,0.026781332961592907
analysis_full,TEMPORAL,Mean,ALL,6076,0.7035429523617902,102.50946127669843,194.54079495627818,6.159515034009481,11.689427847317479,0.02385250269742134
analysis_full,TEMPORAL,Mean,daylight,2517,0.5151562178073565,204.3577045002397,298.14738414881947,12.279299271578752,17.914866317151336,0.03641391906005076
analysis_full,TEMPORAL,InvRMSE,ALL,6076,0.7047164133172172,101.41504150896118,194.1553894104592,6.093754323447373,11.666269875125481,0.02578635240273519
analysis_full,TEMPORAL,InvRMSE,daylight,2517,0.5161824744054926,203.4119185360326,297.8316764757501,12.22246956246767,17.895896300780123,0.037434258447847424
