mode,comparator,block_days,rel_rmse_gain_pct,ci_low_pct,ci_high_pct,p_value,n_days,n
KFOLD,BestSingleByVal,1,6.657855736908008,4.106441839954182,9.182562106461438,0.0001,358,3869
KFOLD,BestSingleByVal,3,6.657855736908008,3.7811536444903657,9.58297156738368,0.0001,358,3869
KFOLD,BestSingleByVal,7,6.657855736908008,3.0483402864044353,10.570138361702293,0.0004,358,3869
KFOLD,SmartPersistence,1,31.248718704947144,27.228027729372123,35.01338983928987,0.0001,358,3869
KFOLD,SmartPersistence,3,31.248718704947144,26.661842043875453,35.33437339790879,0.0001,358,3869
KFOLD,SmartPersistence,7,31.248718704947144,25.29892833549989,36.057345128063716,0.0001,358,3869
TEMPORAL,BestSingleByVal,1,3.0267381790817764,1.4808492139970895,4.390621056372916,0.0002,254,2517
TEMPORAL,BestSingleByVal,3,3.0267381790817764,1.0235394181141872,4.767264230028132,0.0052,254,2517
TEMPORAL,BestSingleByVal,7,3.0267381790817764,0.36576162846929194,5.081028724418832,0.0292,254,2517
TEMPORAL,SmartPersistence,1,2.883865268689966,-6.311826630627532,11.407747237034137,0.5234,254,2517
TEMPORAL,SmartPersistence,3,2.883865268689966,-10.330946863222033,14.625876782307671,0.6266,254,2517
TEMPORAL,SmartPersistence,7,2.883865268689966,-15.846888961865462,18.31080004471531,0.6826,254,2517
