variable,subset,n,analysis_mean,forecast_mean,mae,rmse,correlation
shortwave_radiation,daylight,4289,304.67731405922126,278.66938680345066,76.26113313126604,118.75187939512409,0.8666933109622577
shortwave_radiation,all hours,9408,140.64455782312925,127.58830782312926,36.319430272108846,80.55342709870847,0.9283413226886603
direct_normal_irradiance,daylight,4289,366.27719748193056,305.2412683609233,169.0460013989275,243.13561221902688,0.6757105872015554
direct_normal_irradiance,all hours,9408,173.36349914965984,139.8738732993197,83.30814200680273,168.33337831926724,0.7968529335444128
diffuse_radiation,daylight,4289,117.17463278153416,120.21939846117976,43.25320587549545,65.66738466838991,0.6852998142882798
diffuse_radiation,all hours,9408,54.495535714285715,55.28477891156463,20.66441326530612,44.54729133141527,0.8499852351097344
cloud_cover,daylight,4289,63.04383306131965,60.470739100023316,22.185591046864072,34.69500727713375,0.6245668366809396
cloud_cover,all hours,9408,60.50170068027211,59.98256802721088,21.743197278911566,34.80213751352356,0.6417573823124217
temperature_2m,daylight,4289,14.717463278153415,14.889811144788995,0.8757752389834461,1.1668039977349811,0.9793519030404839
temperature_2m,all hours,9408,12.111320153061223,12.677721088435375,0.9817070578231294,1.2808435351613505,0.9800779046853946
