arm,mode,cnn_R2,cnn_RMSE,cnn_nRMSE_pct,ensemble,ensemble_R2,ensemble_nRMSE_pct,lowest_error_ensemble,lowest_error_nRMSE_pct,cnn_nRMSE_change_pp
full,KFOLD,0.7332036482645448,220.26036606405117,13.234847001155275,NNLSStack,0.7649169851837325,12.423375372398672,NNLSStack,12.423375372398672,0.0
no_channel,KFOLD,0.7214533731633107,225.0584715812588,13.523152126359578,NNLSStack,0.7635423510494997,12.459644907924043,InvRMSE,12.449783865427534,0.2883051252043032
no_loss_weighting,KFOLD,0.7178139134070185,226.52399471097993,13.61121142974271,NNLSStack,0.7636083695840299,12.457905431692074,NNLSStack,12.457905431692074,0.3763644285874346
neither,KFOLD,0.7248603179682804,223.67787537284846,13.440195850951536,NNLSStack,0.7692966837850456,12.307104846028338,NNLSStack,12.307104846028338,0.20534884979626078
full,TEMPORAL,0.5054141861807538,301.1278447476712,18.093954097325565,NNLSStack,0.532399779862365,17.59340944593625,RidgeStack,16.825605023787475,0.0
no_channel,TEMPORAL,0.501422370709407,302.34060809101567,18.16682575183424,NNLSStack,0.5251518308722536,17.729236790247935,RidgeStack,16.956340023821916,0.07287165450867406
no_loss_weighting,TEMPORAL,0.5108438453301987,299.47036316437305,17.994360531972983,NNLSStack,0.5403025105125541,17.444106221123043,RidgeStack,16.599769520821507,-0.09959356535258124
neither,TEMPORAL,0.5021526793214603,302.11909507783736,18.153515636671138,NNLSStack,0.5421291439711793,17.40941416255819,RidgeStack,16.636647299732957,0.05956153934557307
