kappa_clip,mode,clearness_gbm_R2,clearness_gbm_nRMSE_pct,ensemble,ensemble_R2,ensemble_nRMSE_pct,lowest_error_ensemble,lowest_error_nRMSE_pct,ensemble_nRMSE_change_pp
1.0,KFOLD,0.7083582395303727,13.837379035805755,NNLSStack,0.7657214772739898,12.402099754939695,NNLSStack,12.402099754939695,-0.021275617458977436
1.25,KFOLD,0.7259415591647871,13.413761280560058,NNLSStack,0.7646639844901459,12.430058708009788,NNLSStack,12.430058708009788,0.006683335611116448
1.5,KFOLD,0.7271467023023817,13.384235984763961,NNLSStack,0.7649169851837325,12.423375372398672,NNLSStack,12.423375372398672,0.0
2.0,KFOLD,0.7291636307256427,13.334676169628926,NNLSStack,0.765397899636964,12.410661481752037,NNLSStack,12.410661481752037,-0.012713890646635306
3.0,KFOLD,0.7275518161733718,13.374296295933755,NNLSStack,0.765424872647429,12.409948013023534,NNLSStack,12.409948013023534,-0.013427359375137726
inf,KFOLD,0.7274034562059846,13.37793724535323,NNLSStack,0.7647590469751877,12.427547932895845,NNLSStack,12.427547932895845,0.004172560497172739
1.0,TEMPORAL,0.4812546940606466,18.530611305243664,NNLSStack,0.5215394616845748,17.796545890857164,RidgeStack,16.93213243262519,-0.29156710796414487
1.25,TEMPORAL,0.48874748349621944,18.396295875354713,NNLSStack,0.5119755004816077,17.97353364279896,RidgeStack,17.152420525377387,-0.11457935602235025
1.5,TEMPORAL,0.486836669256537,18.430642034074566,NNLSStack,0.5057334594739029,18.08811299882131,RidgeStack,17.336128867830173,0.0
2.0,TEMPORAL,0.4857317925847363,18.450472598669506,NNLSStack,0.5081953488807429,18.043009274794162,RidgeStack,17.496529290744427,-0.045103724027146797
3.0,TEMPORAL,0.4962274681183233,18.261224621309147,NNLSStack,0.5195510526086701,17.833487416004644,RidgeStack,17.371696751288706,-0.25462558281666503
inf,TEMPORAL,0.5033120919788832,18.132364890951248,NNLSStack,0.5192977571364112,17.83818775558563,RidgeStack,17.314901117861233,-0.24992524323567977
