,Ridge,GBM,GBM_kt,GBM_per_hour,CNN
Ridge,1.0,0.8059031643842665,0.8165389849303294,0.8383017258096136,0.7359088172160996
GBM,0.8059031643842665,1.0,0.9278027597963288,0.8654180651988859,0.7171459286059102
GBM_kt,0.8165389849303294,0.9278027597963288,1.0,0.8622550962169075,0.731683531737679
GBM_per_hour,0.8383017258096136,0.8654180651988859,0.8622550962169075,1.0,0.7132854973670913
CNN,0.7359088172160996,0.7171459286059102,0.731683531737679,0.7132854973670913,1.0
